SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
26907,"30496","1","Star Wars","Rogue One","2017","U-Wing Fighter",,55,,3.99,,,"https://images.brickset.com/sets/images/30496-1.jpg",2961,764
27298,"30497","1","Star Wars","The Last Jedi","2017","First Order Heavy Assault Walker",,54,,,,,"https://images.brickset.com/sets/images/30497-1.jpg",4924,531
26925,"30611","1","Star Wars","Promotional","2017","R2-D2",,70,,,,,"https://images.brickset.com/sets/images/30611-1.jpg",6608,1955
27215,"40176","1","Star Wars","Rogue One","2017","Scarif Stormtrooper",1,25,,,,,"https://images.brickset.com/sets/images/40176-1.jpg",4711,1317
26944,"40268","1","Star Wars","Rogue One","2017","R3-M2",1,21,,,,,"https://images.brickset.com/sets/images/40268-1.jpg",5321,1426
27614,"66555","1","Star Wars","Product Collection","2017","Super Pack 2 in 1",,232,,,,,"https://images.brickset.com/sets/images/66555-1.jpg",128,162
27615,"66556","1","Star Wars","Product Collection","2017","Super Pack 2 in 1",,239,,,,,"https://images.brickset.com/sets/images/66556-1.jpg",153,155
25727,"75144","1","Star Wars","Ultimate Collector Series","2017","Snowspeeder",2,1703,169.99,199.99,229.99,169.99,"https://images.brickset.com/sets/images/75144-1.jpg",6137,3594
26487,"75160","1","Star Wars","MicroFighters","2017","U-wing",1,109,8.99,9.99,12.99,,"https://images.brickset.com/sets/images/75160-1.jpg",6924,1022
26488,"75161","1","Star Wars","MicroFighters","2017","TIE Striker",1,88,8.99,9.99,12.99,,"https://images.brickset.com/sets/images/75161-1.jpg",5656,1005
26489,"75162","1","Star Wars","MicroFighters","2017","Y-wing",1,90,8.99,9.99,12.99,,"https://images.brickset.com/sets/images/75162-1.jpg",6130,1145
26490,"75163","1","Star Wars","MicroFighters","2017","Krennic's Imperial Shuttle",1,78,8.99,9.99,12.99,,"https://images.brickset.com/sets/images/75163-1.jpg",5587,1008
26491,"75164","1","Star Wars","Rogue One","2017","Rebel Trooper Battle Pack",4,120,11.99,14.99,16.99,,"https://images.brickset.com/sets/images/75164-1.jpg",6295,1587
26492,"75165","1","Star Wars","Rogue One","2017","Imperial Trooper Battle Pack",4,112,11.99,14.99,16.99,,"https://images.brickset.com/sets/images/75165-1.jpg",7436,1819
26709,"75166","1","Star Wars","The Force Awakens","2017","First Order Transport Speeder Battle Pack",4,117,11.99,14.99,16.99,14.99,"https://images.brickset.com/sets/images/75166-1.jpg",6969,1488
26708,"75167","1","Star Wars","Original Content","2017","Bounty Hunter Speeder Bike Battle Pack",4,122,11.99,14.99,16.99,14.99,"https://images.brickset.com/sets/images/75167-1.jpg",9488,1475
26493,"75168","1","Star Wars","The Clone Wars","2017","Yoda's Jedi Starfighter",2,262,19.99,24.99,29.99,,"https://images.brickset.com/sets/images/75168-1.jpg",8804,1733
26494,"75169","1","Star Wars","Episode I","2017","Duel on Naboo",3,208,19.99,24.99,29.99,,"https://images.brickset.com/sets/images/75169-1.jpg",8155,1681
26495,"75170","1","Star Wars","Rebels","2017","The Phantom",3,269,39.99,29.99,39.99,,"https://images.brickset.com/sets/images/75170-1.jpg",5119,1823
26602,"75171","1","Star Wars","Rogue One","2017","Battle on Scarif",4,419,54.99,49.99,64.99,,"https://images.brickset.com/sets/images/75171-1.jpg",4866,1967
26496,"75172","1","Star Wars","Rogue One","2017","Y-wing Starfighter",5,691,64.99,59.99,74.99,,"https://images.brickset.com/sets/images/75172-1.jpg",8759,2461
26497,"75173","1","Star Wars","Episode IV","2017","Luke's Landspeeder",4,149,19.99,19.99,24.99,,"https://images.brickset.com/sets/images/75173-1.jpg",7247,2092
26498,"75174","1","Star Wars","Episode VI","2017","Desert Skiff Escape",4,277,29.99,29.99,39.99,,"https://images.brickset.com/sets/images/75174-1.jpg",4553,2236
26723,"75175","1","Star Wars","Episode VI","2017","A-wing Starfighter",3,358,44.99,39.99,49.99,,"https://images.brickset.com/sets/images/75175-1.jpg",4418,2711
