SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
28596,"30361","1","City","Fire","2019","Fire ATV",1,39,,,,,"https://images.brickset.com/sets/images/30361-1.jpg",1687,310
28605,"30362","1","City","Sky Police","2019","Sky Police Jetpack",2,33,,3.99,,,"https://images.brickset.com/sets/images/30362-1.jpg",386,519
28946,"30363","1","City","","2019","Race Boat",1,33,,,,,"https://images.brickset.com/sets/images/30363-1.jpg",513,369
28938,"30364","1","City","","2019","Popcorn Cart",1,43,,,,,"https://images.brickset.com/sets/images/30364-1.jpg",2093,1318
28477,"60206","1","City","Sky Police","2019","Jet Patrol",2,54,7.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/60206-1.jpg",240,287
28476,"60207","1","City","Sky Police","2019","Drone Chase",3,192,17.99,29.99,39.99,19.99,"https://images.brickset.com/sets/images/60207-1.jpg",405,676
28475,"60208","1","City","Sky Police","2019","Parachute Arrest",4,218,24.99,39.99,49.99,29.99,"https://images.brickset.com/sets/images/60208-1.jpg",225,487
28474,"60209","1","City","Sky Police","2019","Diamond Heist",4,400,44.99,59.99,79.99,49.99,"https://images.brickset.com/sets/images/60209-1.jpg",199,585
28398,"60210","1","City","Sky Police","2019","Air Base",6,529,69.99,89.99,119.99,74.99,"https://images.brickset.com/sets/images/60210-1.jpg",131,564
28430,"60212","1","City","Fire","2019","Barbecue Burn Out",2,64,7.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/60212-1.jpg",331,301
28429,"60213","1","City","Fire","2019","Dock Side Fire",2,97,14.99,19.99,24.99,14.99,"https://images.brickset.com/sets/images/60213-1.jpg",287,344
28397,"60214","1","City","Fire","2019","Burger Bar Fire Rescue",3,327,24.99,39.99,49.99,29.99,"https://images.brickset.com/sets/images/60214-1.jpg",769,1095
28558,"60215","1","City","Fire","2019","Fire Station",4,509,59.99,69.99,89.99,59.99,"https://images.brickset.com/sets/images/60215-1.jpg",312,522
