SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
26931,"30475","1","Creator","","2017","Off Roader",,33,,,,,"https://images.brickset.com/sets/images/30475-1.jpg",202,320
26932,"30476","1","Creator","","2017","Happy Turtle",,33,,,,,"https://images.brickset.com/sets/images/30476-1.jpg",1068,513
26905,"30477","1","Creator","","2017","Chameleon",,53,,,,,"https://images.brickset.com/sets/images/30477-1.jpg",1797,590
26422,"31054","1","Creator","","2017","Blue Express ",,71,4.99,4.99,6.99,,"https://images.brickset.com/sets/images/31054-1.jpg",3158,418
26653,"31055","1","Creator","","2017","Red Racer",,72,4.99,4.99,6.99,,"https://images.brickset.com/sets/images/31055-1.jpg",1867,221
26423,"31056","1","Creator","","2017","Green Cruiser",,122,9.99,9.99,12.99,,"https://images.brickset.com/sets/images/31056-1.jpg",2134,329
26424,"31057","1","Creator","","2017","Air Blazer",,102,9.99,9.99,12.99,,"https://images.brickset.com/sets/images/31057-1.jpg",1717,268
26425,"31058","1","Creator","","2017","Mighty Dinosaurs",,174,12.99,14.99,17.99,14.99,"https://images.brickset.com/sets/images/31058-1.jpg",4981,761
26426,"31059","1","Creator","","2017","Sunset Street Bike",,194,17.99,19.99,24.99,,"https://images.brickset.com/sets/images/31059-1.jpg",801,282
26427,"31060","1","Creator","","2017","Airshow Aces",,246,17.99,19.99,24.99,,"https://images.brickset.com/sets/images/31060-1.jpg",861,285
26429,"31062","1","Creator","","2017","Robo Explorer",,205,17.99,19.99,24.99,,"https://images.brickset.com/sets/images/31062-1.jpg",3812,754
26430,"31063","1","Creator","","2017","Beachside Vacation",2,275,19.99,29.99,39.99,,"https://images.brickset.com/sets/images/31063-1.jpg",2515,1120
26431,"31064","1","Creator","","2017","Island Adventures",1,359,19.99,29.99,44.99,,"https://images.brickset.com/sets/images/31064-1.jpg",1667,878
26432,"31065","1","Creator","","2017","Park Street Townhouse",2,566,44.99,49.99,64.99,,"https://images.brickset.com/sets/images/31065-1.jpg",3380,1970
26743,"31066","1","Creator","","2017","Space Shuttle Explorer",1,285,24.99,29.99,44.99,,"https://images.brickset.com/sets/images/31066-1.jpg",3224,1162
26740,"31067","1","Creator","Modular","2017","Modular Poolside Holiday",2,356,19.99,29.99,39.99,,"https://images.brickset.com/sets/images/31067-1.jpg",2511,1410
26741,"31068","1","Creator","Modular","2017","Modular Modern Home",2,386,27.99,29.99,49.99,,"https://images.brickset.com/sets/images/31068-1.jpg",2865,1557
26742,"31069","1","Creator","Modular","2017","Modular Family Villa",3,728,44.99,69.99,89.99,,"https://images.brickset.com/sets/images/31069-1.jpg",2360,1691
26744,"31070","1","Creator","","2017","Turbo Track Racer",,664,54.99,59.99,74.99,,"https://images.brickset.com/sets/images/31070-1.jpg",1561,686
27116,"40251","1","Creator","","2017","Mini Piggy Bank",,248,11.99,,,14.99,"https://images.brickset.com/sets/images/40251-1.jpg",3178,302
26923,"40252","1","Creator","","2017","Mini Volkswagen Beetle",,141,,,,,"https://images.brickset.com/sets/images/40252-1.jpg",5400,1243
