SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
28951,"30545","1","Creator","","2019","Fish Free Builds - Make It Yours",,,,,,,"https://images.brickset.com/sets/images/30545-1.jpg",89,241
28602,"30571","1","Creator","","2019","Pelican",,62,,3.99,,,"https://images.brickset.com/sets/images/30571-1.jpg",894,492
28947,"30572","1","Creator","","2019","Race Car",,,,,,,"https://images.brickset.com/sets/images/30572-1.jpg",666,132
28952,"30573","1","Creator","","2019","Santa",,,,,,,"https://images.brickset.com/sets/images/30573-1.jpg",34,465
28426,"31086","1","Creator","","2019","Futuristic Flyer",,157,14.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/31086-1.jpg",229,318
28427,"31087","1","Creator","","2019","Dune Buggy",,147,12.99,12.99,17.99,12.99,"https://images.brickset.com/sets/images/31087-1.jpg",231,246
28400,"31088","1","Creator","","2019","Deep Sea Creatures",,230,12.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/31088-1.jpg",1154,943
28425,"31089","1","Creator","","2019","Sunset Track Racer",,221,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/31089-1.jpg",243,337
28401,"31090","1","Creator","","2019","Underwater Robot",,207,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/31090-1.jpg",366,512
28424,"31091","1","Creator","","2019","Shuttle Transporter",,341,24.99,24.99,34.99,24.99,"https://images.brickset.com/sets/images/31091-1.jpg",383,519
28501,"31092","1","Creator","","2019","Helicopter Adventure",,114,9.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/31092-1.jpg",188,203
28500,"31093","1","Creator","","2019","Riverside Houseboat",2,396,24.99,39.99,49.99,29.99,"https://images.brickset.com/sets/images/31093-1.jpg",547,1172
28499,"31094","1","Creator","","2019","Race Plane",1,333,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/31094-1.jpg",282,589
29050,"31095","1","Creator","","2019","{Carousel}",,,,,,,"https://images.brickset.com/sets/images/31095-1.jpg",7,860
29049,"31096","1","Creator","","2019","{Dual-rotor helicopter}",,,,,,,"https://images.brickset.com/sets/images/31096-1.jpg",0,243
29048,"31097","1","Creator","","2019","{Townhouse}",,,,,,,"https://images.brickset.com/sets/images/31097-1.jpg",6,941
29262,"31098","1","Creator","","2019","{Wilderness hut}",,,,,,,"https://images.brickset.com/sets/images/31098-1.jpg",1,316
29282,"ELEPHANT","1","Creator","","2019","Elephant",,,,,,,"https://images.brickset.com/sets/images/ELEPHANT-1.jpg",0,10
29283,"FLOWER","1","Creator","","2019","Flower",,,,,,,"https://images.brickset.com/sets/images/FLOWER-1.jpg",0,10
