SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
29136,"30383","1","Star Wars","Episode I","2019","Naboo Starfighter",,48,,,,,"https://images.brickset.com/sets/images/30383-1.jpg",676,467
29164,"30384","1","Star Wars","Episode V","2019","Snowspeeder",,49,,,,,"https://images.brickset.com/sets/images/30384-1.jpg",781,568
29134,"30461","1","Star Wars","Episode I","2019","Podracer",,58,,,,,"https://images.brickset.com/sets/images/30461-1.jpg",559,683
29252,"40333","1","Star Wars","Promotional","2019","Battle of Hoth - 20th Anniversary Edition",,,,,,,"https://images.brickset.com/sets/images/40333-1.jpg",6,570
28413,"75223","1","Star Wars","MicroFighters","2019","Naboo Starfighter Microfighter",1,62,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/75223-1.jpg",1336,1095
28464,"75224","1","Star Wars","MicroFighters","2019","Sith Infiltrator Microfighter",1,92,8.99,9.99,13.99,9.99,"https://images.brickset.com/sets/images/75224-1.jpg",1580,1182
28402,"75225","1","Star Wars","The Last Jedi","2019","Elite Praetorian Guard Battle Pack",5,109,12.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/75225-1.jpg",2664,1780
28406,"75226","1","Star Wars","Battlefront","2019","Inferno Squad Battle Pack",4,118,12.99,14.99,19.99,14.99,"https://images.brickset.com/sets/images/75226-1.jpg",2314,1639
29190,"75227","1","Star Wars","Promotional","2019","Darth Vader Bust",,327,,39.99,,,"https://images.brickset.com/sets/images/75227-1.jpg",273,957
28412,"75228","1","Star Wars","MicroFighters","2019","Escape Pod vs. Dewback Microfighters",3,177,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75228-1.jpg",2265,2018
28459,"75229","1","Star Wars","Episode IV","2019","Death Star Escape",4,329,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/75229-1.jpg",1766,1948
28408,"75233","1","Star Wars","Episode III","2019","Droid Gunship",4,389,54.99,49.99,69.99,59.99,"https://images.brickset.com/sets/images/75233-1.jpg",746,1291
28409,"75234","1","Star Wars","Episode III","2019","AT-AP Walker",5,689,64.99,59.99,79.99,69.99,"https://images.brickset.com/sets/images/75234-1.jpg",811,1327
28403,"75235","1","Star Wars","4 Plus","2019","X-wing Starfighter Trench Run",3,132,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/75235-1.jpg",453,829
29053,"75236","1","Star Wars","The Force Awakens","2019","Duel on Starkiller Base",2,191,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75236-1.jpg",463,1282
28411,"75237","1","Star Wars","4 Plus","2019","TIE Fighter Attack",2,77,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75237-1.jpg",594,928
