SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
27671,"30356","1","City","General","2018","Hot Dog Stand",1,43,,,,,"https://images.brickset.com/sets/images/30356-1.jpg",5130,1520
27672,"30357","1","City","Construction","2018","Road Worker",1,58,,,,,"https://images.brickset.com/sets/images/30357-1.jpg",2859,705
27673,"30358","1","City","Traffic","2018","Dragster",1,40,,,,,"https://images.brickset.com/sets/images/30358-1.jpg",2400,366
27835,"30359","1","City","Mountain Police","2018","Police Water Plane",1,48,,,,,"https://images.brickset.com/sets/images/30359-1.jpg",1395,329
28068,"30360","1","City","Arctic","2018","Arctic Ice Saw",1,43,,,,,"https://images.brickset.com/sets/images/30360-1.jpg",1454,521
27722,"40302","1","City","Mountain Police","2018","Become my City Hero",1,,,,,,"https://images.brickset.com/sets/images/40302-1.jpg",174,598
28150,"40303","1","City","Traffic","2018","Vehicle Set",,,,,,,"https://images.brickset.com/sets/images/40303-1.jpg",177,367
27516,"60170","1","City","Mountain Police","2018","Off-Road Chase",2,37,4.99,6.99,8.99,5.99,"https://images.brickset.com/sets/images/60170-1.jpg",2705,469
27517,"60171","1","City","Mountain Police","2018","Mountain Fugitives",4,88,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/60171-1.jpg",3488,661
27518,"60172","1","City","Mountain Police","2018","Dirt Road Pursuit",3,297,24.99,39.99,49.99,29.99,"https://images.brickset.com/sets/images/60172-1.jpg",1123,559
27520,"60173","1","City","Mountain Police","2018","Mountain Arrest",4,303,39.99,59.99,79.99,49.99,"https://images.brickset.com/sets/images/60173-1.jpg",1185,891
27519,"60174","1","City","Mountain Police","2018","Mountain Police Headquarters",7,663,69.99,89.99,109.99,79.99,"https://images.brickset.com/sets/images/60174-1.jpg",1266,919
27521,"60175","1","City","Mountain Police","2018","Mountain River Heist",4,387,39.99,49.99,64.99,39.99,"https://images.brickset.com/sets/images/60175-1.jpg",496,760
27694,"60176","1","City","Mountain Police","2018","Wild River Escape",2,126,12.99,19.99,24.99,14.99,"https://images.brickset.com/sets/images/60176-1.jpg",1601,627
27695,"60177","1","City","General","2018","Airshow Jet",1,87,7.99,9.99,12.99,,"https://images.brickset.com/sets/images/60177-1.jpg",2336,469
27522,"60178","1","City","Traffic","2018","Speed Record Car",1,78,7.99,9.99,12.99,,"https://images.brickset.com/sets/images/60178-1.jpg",1992,451
27611,"60179","1","City","Medical","2018","Ambulance Helicopter",3,190,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/60179-1.jpg",2139,795
27523,"60180","1","City","Traffic","2018","Monster Truck",1,192,14.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/60180-1.jpg",2518,655
27607,"60181","1","City","General","2018","Forest Tractor",1,174,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/60181-1.jpg",4058,1036
27608,"60182","1","City","Traffic","2018","Pickup & Caravan",3,344,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/60182-1.jpg",4181,1470
27609,"60183","1","City","Traffic","2018","Heavy Cargo Transport",2,310,24.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/60183-1.jpg",2342,846
27696,"60184","1","City","Mining","2018","Mining Team",4,82,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/60184-1.jpg",2739,642
27697,"60185","1","City","Mining","2018","Mining Power Splitter",1,127,12.99,19.99,24.99,14.99,"https://images.brickset.com/sets/images/60185-1.jpg",1411,622
27698,"60186","1","City","Mining","2018","Mining Heavy Driller",3,294,39.99,49.99,64.99,39.99,"https://images.brickset.com/sets/images/60186-1.jpg",974,719
27699,"60188","1","City","Mining","2018","Mining Experts Site",6,883,79.99,99.99,129.99,71.99,"https://images.brickset.com/sets/images/60188-1.jpg",1041,905
